Site Load Xray BedDays AreaPop Stay Hours
1 15.6 2463 473 18.0 4.45 566.5
2 44.0 2048 1340 9.5 6.92 696.8
3 20.4 3940 620 12.8 4.28 1033.2
4 18.7 6505 568 36.7 3.90 1603.6
5 49.2 5723 1497 35.7 5.50 1611.4
6 44.9 11520 1366 24.0 4.60 1613.3
7 55.5 5779 1687 43.3 5.62 1854.2
8 59.3 5969 1640 46.7 5.15 2160.6
9 94.4 8461 2872 78.7 6.18 2305.6
10 128.0 20106 3655 180.5 6.15 3503.9
11 96.0 13313 2912 60.9 5.88 3571.9
12 131.4 10771 3921 103.7 4.88 3741.4
13 127.2 15543 3865.7 126.8 5.50 4026.5
14 252.9 36194 7684.1 157.7 7.00 10343.8
15 409.2 34703 12446 169.4 10.78 11732.2
16 463.7 39204 14098 331.4 7.05 15414.9
17 510.2 86533 15524 371.6 6.35 18854.5 
