Pais	InvGrade	IndicePais	DPBI	PBIpercapita	Inflacion	CrecimPBI	intPBI	RINPBI	
Austria	1	90.50	67.10	25163.00	1.40	2.20	4.00	2.67	
Canada	1	86.00	63.11	22705.00	2.00	5.60	6.00	2.74	
Denmark	1	91.00	41.00	32677.00	2.30	2.00	3.00	8.33	
Finland	1	94.00	42.40	25479.00	2.00	3.50	3.00	3.83	
France	1	81.00	58.90	23844.00	1.30	2.60	3.00	1.24	
Germany	1	86.00	60.80	24662.00	1.50	1.60	3.00	1.50	
Ireland	1	92.50	33.00	30738.00	3.80	14.10	2.00	2.43	
Luxembourg	1	94.50	4.90	47551.00	2.10	5.30	0.00	0.39	
Netherlands	1	88.50	52.60	26432.00	2.90	2.80	3.00	1.38	
Norway	1	90.00	19.28	43283.00	2.50	2.00	2.00	5.70	
Singapore	1	88.50	9.54	20732.00	0.40	3.80	0.00	46.43	
Switzerland	1	92.50	55.20	40400.00	0.80	1.70	2.00	7.88	
UK	1	87.00	31.60	25433.00	1.20	2.40	2.00	1.41	
USA	1	80.00	60.25	37367.00	2.30	3.10	2.00	0.40	
Australia	1	87.00	3.90	22160.00	2.80	4.70	1.00	2.57	
Belgium	1	87.00	106.10	24599.00	1.80	2.30	6.00	2.62	
NZ	1	91.00	14.40	15214.00	1.70	2.50	2.00	3.36	
Spain	1	83.00	54.00	15759.00	2.90	3.50	3.00	3.02	
Sweden	1	91.50	52.40	26084.00	1.50	2.90	3.00	4.07	
Italy	1	81.00	106.70	20759.00	2.20	1.80	6.00	1.45	
Portugal	1	87.50	58.10	11872.00	3.20	2.60	3.00	5.45	
Taiwan	1	76.00	16.20	13027.00	0.60	3.30	2.00	29.81	
Japan	1	87.00	145.90	33502.00	-0.30	0.00	3.00	5.87	
HongKong	1	78.50	0.00	23293.00	-1.90	2.00	0.00	35.14	
Iceland	1	92.00	43.20	29529.00	4.40	3.40	3.00	2.89	
Kuwait	1	71.50	31.74	16071.00	1.40	1.20	2.00	14.38	
Botswana	1	76.00	8.00	3314.00	7.50	6.20	0.00	56.78	
Cyprus	1	77.00	56.60	14860.00	2.60	4.10	3.00	14.36	
