"","(Intercept)","educ","fumasi","gest","I(gest^3)"
"s0",3219.53572805148,2.27113032683417e-06,-2.13818002423449e-05,1.05399386199202e-05,2.74107101798529e-09
"s1",3219.53553655499,3.0023003430223e-06,-2.82654793457895e-05,1.39331774212287e-05,3.62353441655005e-09
"s2",3219.53528340789,3.96886415935573e-06,-3.73652984311028e-05,1.84188396784545e-05,4.79009898076184e-09
"s3",3219.53494876237,5.24660448818548e-06,-4.93947223801075e-05,2.43486205339271e-05,6.33222848067773e-09
"s4",3219.53450638076,6.93570173924768e-06,-6.52969105428923e-05,3.21874406939635e-05,8.37083257362237e-09
"s5",3219.53392157842,9.16858843317022e-06,-8.63186633231732e-05,4.25498976019458e-05,1.10657465991799e-08
"s6",3219.53314850435,1.21203324193503e-05,-0.00011410817616663,5.62484522630588e-05,1.46282632745614e-08
"s7",3219.53212654629,1.602236283127e-05,-0.000150844264161014,7.43571291844889e-05,1.93376987959645e-08
"s8",3219.53077557851,2.1180614908361e-05,-0.000199407188619324,9.82957235871233e-05,2.55632921405733e-08
"s9",3219.52898967973,2.79995162371428e-05,-0.00026360447848827,0.000129941117753881,3.3793154464416e-08
"s10",3219.52662882859,3.70136948960895e-05,-0.000348469450721572,0.000171774433590455,4.46725381695723e-08
"s11",3219.52350792573,4.89298953126894e-05,-0.000460655832732804,0.000227075557727109,5.9054425776832e-08
"s12",3219.51938228174,6.4682387783104e-05,-0.000608959423217189,0.000300180288894079,7.80664044210644e-08
"s13",3219.51392843357,8.55062152391642e-05,-0.000805007685110108,0.000396820265744786,1.03199068221118e-07
"s14",3219.50671878539,0.000113034018792183,-0.00106417132601653,0.000524572321168748,1.3642287790434e-07
"s15",3219.49718808649,0.000149424031259379,-0.00140676931740617,0.000693452484311503,1.80342636925305e-07
"s16",3219.4845891188,0.000197529269831266,-0.00185966179531523,0.000916701184942855,2.38401690319038e-07
"s17",3219.46793412176,0.000261121186165484,-0.00245835566991479,0.00121182119264759,3.15151846993411e-07
"s18",3219.44591736495,0.000345185296533999,-0.00324978792274691,0.00160194961563558,4.16610172151481e-07
"s19",3219.41681280368,0.000456311948834769,-0.00429600462164718,0.00211767143516488,5.50730595264779e-07
"s20",3219.37833880293,0.000603212826054686,-0.00567902376743785,0.00279941659904348,7.28027259619519e-07
"s21",3219.3274793406,0.000797403615448985,-0.00750726265219928,0.00370062832743843,9.62398399192457e-07
"s22",3219.2602477015,0.00105410625082698,-0.00992403263334461,0.00489195053426305,1.27221518535948e-06
"s23",3219.17137418693,0.0013934412634679,-0.0131187655530876,0.00646676179244259,1.68176064633222e-06
"s24",3219.05389344634,0.00184200337034229,-0.0173418488620856,0.00854848818568202,2.2231310095736e-06
"s25",3218.89859923553,0.00243494320913418,-0.022924227096594,0.0113002657077198,2.9387477242465e-06
"s26",3218.6933241311,0.00321871734786108,-0.0303032969604104,0.0149377050687584,3.88467569080133e-06
"s27",3218.42198821461,0.00425472027892878,-0.0400571095460774,0.0197457514897255,5.1350053697407e-06
"s28",3218.06334298992,0.00562407983808666,-0.0529495320371723,0.0261009469807228,6.78763799436542e-06
"s29",3217.58931353715,0.00743398622578864,-0.0699898586659594,0.0345008154426509,8.97191987489007e-06
